index,match_id,x,y,xG,minute,result,team,h_a,player,home_score,away_score,home_goal_scored,away_goal_scored,test_home_score,home_current_score,away_current_score
911,18237,0.750999984741211,0.5220000076293946,0.01909792609512806,43,BlockedShot,Manchester City,h,Kevin De Bruyne,0,0,0,0,,0,0
912,18237,0.805,0.5529999923706055,0.024763338267803192,43,BlockedShot,Manchester City,h,Kevin De Bruyne,0,0,0,0,,0,0
913,18237,0.8280000305175781,0.41700000762939454,0.038528017699718475,52,Goal,Manchester City,h,Bernardo Silva,0,0,1,0,,0,0
914,18237,0.925,0.33099998474121095,0.039927758276462555,60,MissedShots,Manchester City,h,Bernardo Silva,0,0,0,0,,1,0
915,18237,0.95,0.5,0.4691114127635956,61,Goal,Manchester City,h,Erling Haaland,0,0,1,0,,0,0
916,18237,0.7580000305175781,0.28600000381469726,0.013329874724149704,69,BlockedShot,Manchester City,h,Kevin De Bruyne,0,0,0,0,,1,0
917,18237,0.9069999694824219,0.43099998474121093,0.08240703493356705,69,MissedShots,Manchester City,h,John Stones,0,0,0,0,,0,0
918,18237,0.9730000305175781,0.5629999923706055,0.5720339417457581,69,Goal,Manchester City,h,Erling Haaland,0,0,1,0,,0,0
919,18237,0.8719999694824219,0.5179999923706055,0.055922701954841614,72,MissedShots,Manchester City,h,Erling Haaland,0,0,0,0,,1,0
920,18237,0.865,0.3370000076293945,0.06547363102436066,78,BlockedShot,Manchester City,h,Bernardo Silva,0,0,0,0,,0,0
921,18237,0.875999984741211,0.5159999847412109,0.3726615905761719,80,Goal,Manchester City,h,Erling Haaland,0,0,1,0,,0,0
922,18237,0.925,0.5640000152587891,0.053237028419971466,84,SavedShot,Manchester City,h,Ilkay Gündogan,0,0,0,0,,1,0
923,18237,0.8540000152587891,0.605999984741211,0.0988502949476242,90,MissedShots,Manchester City,h,Sergio Gómez,0,0,0,0,,0,0
926,18238,0.9230000305175782,0.710999984741211,0.03215879946947098,7,MissedShots,Arsenal,h,Gabriel Jesus,0,0,0,0,,0,0
948,18238,0.9030000305175782,0.32,0.061869584023952484,8,BlockedShot,Fulham,a,Bobby Reid,0,0,0,0,,0,0
949,18238,0.9009999847412109,0.45099998474121095,0.0650419071316719,9,MissedShots,Fulham,a,João Palhinha,0,0,0,0,,0,0
927,18238,0.8909999847412109,0.59,0.11012274026870728,14,MissedShots,Arsenal,h,Granit Xhaka,0,0,0,0,,0,0
928,18238,0.88,0.555,0.09564077854156494,17,BlockedShot,Arsenal,h,Gabriel Martinelli,0,0,0,0,,0,0
950,18238,0.9109999847412109,0.565,0.09055264294147491,29,MissedShots,Fulham,a,Bobby Reid,0,0,0,0,,0,0
929,18238,0.8630000305175781,0.8219999694824218,0.05153382197022438,31,MissedShots,Arsenal,h,Gabriel Martinelli,0,0,0,0,,0,0
930,18238,0.885,0.38,0.10487732291221619,32,SavedShot,Arsenal,h,Bukayo Saka,0,0,0,0,,0,0
931,18238,0.705999984741211,0.6140000152587891,0.010292275808751583,32,BlockedShot,Arsenal,h,Kieran Tierney,0,0,0,0,,0,0
951,18238,0.8169999694824219,0.67,0.027169205248355865,36,MissedShots,Fulham,a,Andreas Pereira,0,0,0,0,,0,0
932,18238,0.9459999847412109,0.415,0.050906188786029816,38,BlockedShot,Arsenal,h,Gabriel Jesus,0,0,0,0,,0,0
933,18238,0.91,0.37,0.0829443484544754,46,BlockedShot,Arsenal,h,Gabriel Jesus,0,0,0,0,,0,0
952,18238,0.909000015258789,0.445,0.10076514631509781,49,MissedShots,Fulham,a,Bobby Reid,0,0,0,0,,0,0
934,18238,0.86,0.44299999237060544,0.07402502745389938,51,BlockedShot,Arsenal,h,Gabriel Martinelli,0,0,0,0,,0,0
953,18238,0.7040000152587891,0.42700000762939455,0.013425215147435665,51,MissedShots,Fulham,a,Aleksandar Mitrovic,0,0,0,0,,0,0
935,18238,0.7609999847412109,0.4329999923706055,0.018501022830605507,53,SavedShot,Arsenal,h,Martin Odegaard,0,0,0,0,,0,0
936,18238,0.8690000152587891,0.5940000152587891,0.09748173505067825,53,SavedShot,Arsenal,h,Gabriel Jesus,0,0,0,0,,0,0
954,18238,0.87,0.34200000762939453,0.31069162487983704,55,Goal,Fulham,a,Aleksandar Mitrovic,0,0,0,1,,0,0
937,18238,0.8009999847412109,0.5459999847412109,0.03952643275260925,61,BlockedShot,Arsenal,h,Gabriel Martinelli,0,0,0,0,,0,1
938,18238,0.845999984741211,0.445,0.07763705402612686,63,Goal,Arsenal,h,Martin Odegaard,0,0,1,0,,0,0
955,18238,0.9159999847412109,0.455,0.030485574156045914,66,SavedShot,Fulham,a,Aleksandar Mitrovic,0,0,0,0,,1,0
956,18238,0.9459999847412109,0.40599998474121096,0.1150602251291275,66,BlockedShot,Fulham,a,Bobby Reid,0,0,0,0,,0,0
957,18238,0.8730000305175781,0.4370000076293945,0.028919002041220665,67,MissedShots,Fulham,a,Aleksandar Mitrovic,0,0,0,0,,0,0
939,18238,0.8490000152587891,0.41900001525878905,0.0699261873960495,72,SavedShot,Arsenal,h,Gabriel Martinelli,0,0,0,0,,0,0
940,18238,0.8730000305175781,0.3290000152587891,0.07895834743976593,75,MissedShots,Arsenal,h,Eddie Nketiah,0,0,0,0,,0,0
941,18238,0.8869999694824219,0.6859999847412109,0.04942109435796738,76,BlockedShot,Arsenal,h,Bukayo Saka,0,0,0,0,,0,0
942,18238,0.8159999847412109,0.4159999847412109,0.05613657087087631,80,BlockedShot,Arsenal,h,Martin Odegaard,0,0,0,0,,0,0
